country,SARS,H1N1,MERS,SARScases,H1N1cases,MERScases
'Australia',0,187,0,6,37484,0
'Canada',38,429,0,251,25728,0
'Denmark',0,3,0,0,1,0
'Finland',0,56,0,0,1,0
'France',1,344,1,7,1980000,2
'Germany',0,258,2,9,222360,3
'India',0,2024,0,3,33783,0
'Indonesia',0,10,0,2,359,0
'Italy',0,244,0,4,3065000,1
'Japan',0,198,0,0,11636,0
'Malaysia',2,92,1,0,13500,1
'Mexico',0,1316,0,0,70715,0
'Norway',0,0,0,0,29,0
'Philippines',2,30,0,14,193,2
'UAE',0,6,11,0,0,724
'Saudi Arabia',0,128,498,0,14500,1029
'Singapore',33,19,0,38,1217,0
'Spain',0,300,0,1,1540,2
'Sweden',0,3,0,5,3,0
'Taiwan',0,48,0,346,5474,0
'Thailand',0,249,0,9,32000,1
'United Kingdom',0,474,3,4,28456,4
'USA',0,3438,0,27,113690,2
Vietnam',5,53,0,63,12000,0
